"","text"
"635"," e dithoaldio status salah korban phk perusahaan pariwisata china corona wkwkwk hidup hidup dithoaldio "
"636"," e sultanzaki status pariwisata tutup bakl ngaruh mrk phk karyawan alhasil kl corona kelar indonesia tingkat pengangguran persen e sultanzaki "
"637"," e nasgortrasi status pdhal junjungan lo yg mikirin duit msh minim hasil yg utang numpuk cadev mnurun apbn defisit jual aset negara rupiah ambles phk hrg kas minim nyari utangan susah corona msh bs ngomong gt bong "
"638"," indonesiabutuhpemimpin "
"639"," indonesiabutuhpemim nasgortrasi"
"640"," e lontonkzayur status semalem telfonan senin phk orang dampak virus orang orang dateng rumahnya tolong nangis krn phk uang darimana gimana pasokan barang bakunya cina kosong "
"641","waw corona hebat s lontonkzayur"
"642"," e ritawatikembar status corona ilang secepatnya kasian orang phk e ritawatikembar "
"643"," e miraiochaaaa status grgr corona terancam phk an e miraiochaaaa"
"644"," e noo ody status menakutkan dr corona "
"645"," rumah lu police line"
"646"," kantor lu tau lu phk "
"647"," lu ‚ anggep orang bahaya bumi e noo ody"
"648"," e themonarch status sehabis corona perusahaan bangkrut sehabis corona phk sehabis corona masyarakat nyinyir mulu ngadi hahaha nih klo otaknya dipake cmn rebahan themonarch "
"649"," e pakdosen status corona phk "
"650"," anjing e pakdosen "
"651"," e anzahgyul status tetiba kepikiran corona sih kerja d hotel gaji dr pendapatn hotel mslhnya yah klo smpe jakarta emang separah ampe lockdown gt yh hotel bakl sepi takut bkl kena phk emang kondisi manajemen hotel lg kyk gini anzahgyul"
"652"," e jekie status hmm wabah corona yg tuntas wabah amnesia mendadak yg sampek problematika kalangan mahasiswa e jekie "
"653"," e bixutong status terburuk dampak ekonomi akibat corona gede sampe phk karyawan diphk ga pemasukan better save our money ga over spending ga beli barang mahal e bixutong"
"654"," e istiqlal pm status elu baca risyiana tweet terancam beneran phk massal bali corona disaat ga lokdan lokdon apapun "
"655",""
"656","gudlak twitter handjobservice status ‚ ‚Ä e istiqlal pm"
"657"," e ikvanudien status pengangguran phk corona ikvanudien"
"658"," e papah levi status phk pengurangan gaji langkah langkah nyata pemerintah perusahaan baiknya penumpukan penumpang jakarta mari kota bergotong royong membasmi virus corona e papah levi"
"659"," e dyah status yg rkyt sdh curiga suka tka ch ditengah banyaknya phk pengangguran "
"660","jk kejadian spt ditengah wabah corona rkyt yg sdh sensitif teriak "
"661","jd eloklah kl aparat main ancam memakai dalih uu ite jgn nambah panas r dyah "
"662"," e blue isyou status libur lo biayain"
"663","mikir jg bnyak warga indo pekerja harian ngga kerja ya ngga makan"
"664"," yg milih menantang corona dr kena phk ngga kerja "
"665","budak korporat emang derita lo‚ ngomong disaring blue isyou"
"666"," e prilangit status gimana bisnis lesu corona besok phk karyawan didemo situ kasih pekerjaan e prilangit "
"667"," e klinikhukum status halo kak "
"668",""
"669","terimakasih sdh menghubungi perihal phk dinyatakan positif corona cek artikel bit ly phksakit ‚ cek infografis twitter klinikhukum st atus s ‚ ‚Ä "
"670",""
"671","salam "
"672","tim klinik klinikhukum"
"673"," e nawacitap status terdampak corona perusahaan star jet ajukan phk karyawan nawacitapost p ‚ e nawacitap"
"674"," e dimas mamuju status karyawan dirumahkan swasta blh tdk menggaji karyawannya dirumahkan pikir swasta bs bakar duit gaji karyawan disaat tdk bs beroperasi pd swasta bankrut efeknya beres corona pd phk e dimas mamuju"
"675"," e petaniitukeren status dampak virus corona negara sektor pariwisata industri terancam krisis kekhawatiran phk besaran menghindari pengangguran twitter ndj ylh e petaniitukeren"
"676"," e tandaseru status rumah tp resiko phk berangkat kantor beresiko corona tandaseru"
"677"," e tempodotco status jokowi menterinya memberitahukan perusahaan perusahaan pemutusan hubungan kerja phk terkait wabah virus corona bit ly ucy qr ‚ tempodotco"
"678"," e diiikacangin status brain over beauty lagipula ga jg cowo ngidupin cewe contoh posisi skrg ekonomi lg anjlok corona phk dimana kl cewenya pinter akal nyari duit or at least mengurangi pengeluaran optimal e diiikacangin"
"679"," e dariananda status ayoo cegah corona mudah terprovokasi lockdown impact berpengaruh perekonomian negara krisis ekonomi inflasi phk kryawan "
"680",""
"681"," dirumahaja "
"682"," bersamacegahcorona "
"683"," inasoscorona "
"684"," socialdistancingnow "
"685"," socialdistancing "
"686"," mahasis dariananda"
"687"," e h m h status phk corona h m h "
"688"," e idnjaya status radar bogor dampak virus corona perusahaan phk karyawan jakarta radar bogor radarbogor id dam virus corona perusahaan phk karyawan ‚ ‚Ä e idnjaya "
"689"," e cnnindonesia status jokowi pengusaha phk pegawai wabah corona cnnindonesia ekonomi jokowi pengusaha phk pegawai wabah corona utm source twitter utm medium oa utm content cnnindonesia utm campaign cmssocmed ‚ ‚Ä cnnindonesia"
"690"," e beritasatu status wabah corona indonesia jokowi phk brt st uyo ‚ twitter wj kuxfxrr beritasatu"
"691"," e rakyatmerdeka status rapat telekonferens presiden phk karyawan"
"692",""
"693"," jokowi coronavirusoutbreak coronavirusupdates corona "
"694"," coronavirus rakyatmerdeka bacakoranrm rmco id baca berita go vernment action rapat telekonferens presiden phk kar e rakyatmerdeka "
"695"," e tegalfess status tf lur isu corona kaya kiye ngaruh karo rekruitment karyawan ning tegal ora sih soale nembe bae kena phk isu corona e tegalfess"
"696"," e sidiq zulfikar status jokowi teu mere intruksi lockdown teh corona dampak ka perekonomianna ngeri ekonomi genjot investor asing phk gede an hese emang pemimpin mah kudu menderita wkwk lockdown ge kudu sih e sidiq zulfikar"
"697"," e aldi setiaone status wabah corona memicu lahirnya gelombang phk teman teman diphk situasi tabah ya percaya rezeki berlimpah aldi setiaone"
"698"," e theiconomic status presiden joko widodo jokowi menteri memberitahukan perusahaan perusahaan pemutusan hubungan kerja phk isu rencana phk dampak wabah virus corona covid "
"699","selengkapnya"
"700"," theiconomics e theiconomic"
"701"," e vivi mey status smra mah nggak nunggu pandemi corona sampe wfh bwt phk karyawan taun diphk stabilnya keuangan pt gedenya laba klo karyawan tinggal yg gajinya twitter antaranews sta tus ‚ ‚Ä vivi mey"
"702"," e sipitung status hihi swasta disuruh pleciden kerja rmh bang haris azhar ni ya wi kukasi tau sblm korona omset pengusaha dah turun ditambah corona dah kiamat ekonomi bos pda nunggu momentum phk sblm puasa lebaran hindarin thr kspgoid setkabgoid kompastv tvon e sipitung "
"703"," e ndoroayuuu status corona omset resto turun dampaknya perampingan karyawan operasional total udh an orang yg phk sesi office omg aing gimana nasibnya ndoroayuuu"
"704"," e monitorindo status corona ganas utang ln menggunung rp t phk massal menghantui jokowi bizlaw id read cor ona ganas utang ln menggunung rp t phk massal menghantui jokowi ‚ ‚Ä viruscorona jokowi utangluarnegeri phk monitorindo"
"705"," e shyymoni status sedih banget phk proses rekrutmen dihold corona pastinya perusahaan efisiensi puasa bahan pokok melonjak harganya "
"706",""
"707","kuatkan "
"708"," teman teman stay safe ya shyymoni"
"709"," e dpwnasdemdki status semoga cerita pengurangan pegawai phk perusahaan perusahaan wabah corona "
"710",""
"711"," sepakat bersatu melawan virus corona "
"712"," workfromhome "
"713"," dirumahaja "
"714"," nasdemjakarta "
"715"," viruscorona "
"716"," covid twitter dpwnasdemdki"
"717"," e tere status semoga mas dampak corona non kaum mapan phk kehilangan penghasilan indonesia tere "
"718"," e achi narahashi status phk "
"719",""
"720"," proses rekrutmen dihold corona pastinya perusahaan efisiensi "
"721",""
"722"," puasa bahan pokok melonjak harganya "
"723",""
"724","kuatkan "
"725"," teman teman stay safe ya achi narahashi"
"726"," e sokancut status yg ngebacot ngapain pariwisata didahuluin corona lo tau phk mata jink kamar sepi tamu meeting cancel occ faaak sokancut"
"727"," e zsiyal status indus hospt n akuh mal kama rahy hyn govt hospt chk phk no kits for lab test corona n other blood test no mask no ‚ sensitizer for drs n other staff at shk no mask available zsiyal "
"728"," e rohman status mengurangi utk phk ya tp rumahkan krn efek corona pengusaja ttp membayar upah corona lantas menghilangkan kewajiban pengusaha membayar upah memotong upah e rohman "
"729"," e autobots status klu si bos nurutin kemauan anies trus perusahaan gk berjalan bangkrut si wan corona tanggung pekerjaan thdp pegawai perusahaan yg phk "
"730","tolong klu goblok jgn pamerin autobots "
"731"," e opalfarisi status salah garmen daerah sukabumi nge phk karyawan ga dapet bahan baku produksi cina lockdown bingung luntang lantung cari kerjaan bingung pro contra regulasi corona semoga pinter nemu jalan kelua opalfarisi"
"732"," e monitorindo status corona ganas utang ln menggunung rp t phk massal menghantui jokowi bizlaw id read cor ona ganas utang ln menggunung rp t phk massal menghantui jokowi ‚ ‚Ä viruscorona jokowi utangluarnegeri phk monitorindo"
"733"," e shintajuliarnas status sabar corona cepet ya biar industri event jalan biar projectan biar temen temen tour bawa tour takut phk potong gaji huhu sedih banget virus bener bener ngerusak shintajuliarnas"
"734"," e drzandrz status dear corona "
"735","kamutuh negara bodoh chaos tau "
"736",""
"737"," kah lockdown "
"738"," gua negara belom lockdown negara negara "
"739"," kepanikan masyarakat "
"740"," rush bank pasar"
"741"," phk dimana e drzandrz"
"742"," e bersxhka status dampak corona emg parah bgt kl terusan bbrp perusahaan terancam gulung tikar sm phk sedih bgt w jg bingung nambah duit jajan pke woi udh lulus kuliah tp lg kya gini pdhl udh pengen resign e bersxhka"
"743"," e cinenyaplir status corona berimbas kemana kam temen kena phk kerja wo travel china semoga cepat pulih sektor pariwisata cinenyaplir"
"744"," e dudupacarmu status kepikiran gk si ttg buruh alat mesin terbarukan kejadian terduga ex corona buruh diliburkan kejadian operasional pabrik jalannya gimana salah to perusahaan menggantikan buruh phk mesin terbarukan c dudupacarmu"
"745"," e prmn depok status jokowi menteri koperasi usaha menengah intruksikan perusahaan phk karyawan ditengah pandemi virus corona dlvr it rs hx ‚ e prmn depok"
"746"," e antioedipus status dihantui phk massal cicilan mati corona karantina jaminan hidup apapun omong kosong terburuk karantina terikat roda produksi upah harian e antioedipus"
"747"," e haryantocahyono status virus corona jokowi perusahaan lakukan phk namakuharyantocahyono virus coro na jokowi perusahaan lakukan phk ‚ ‚Ä twitter t tjunxrxw e haryantocahyono"
"748"," e metrobatam status gegara corona maskapai selandia phk karyawan metrobatam gegara corona maskapai selandia phk karyawan ‚ ‚Ä twitter slloszepu metrobatam "
"749"," e sobatadi status dampak corona ekonomi lemah buruh harap bebas phk tagar id dampak corona ekonomi lemah buruh harap bebas phk source twitter ‚ ‚Ä sobatadi"
"750"," e alfons seto status perusahaan phk unpaid leave orang bisnisnya turun corona kasian ga minggu alfons seto"
"751"," e cahyonoharyanto status evania kartra page kursusint ernetgratis ‚ ‚Ä "
"752",""
"753"," evania kartra page solusiala mikesehatan ‚ ‚Ä "
"754"," virus corona jokowi perusahaan lakukan phk namakuharyantocahyono virus coro na jokowi perusahaan lakukan phk e cahyonoharyanto"
"755"," e pikiran rakyat status terkait kebijakan cegah virus corona jokowi perusahaan phk karyawannya rumah dlvr it rs y w ‚ pikiran rakyat"
"756"," e monitorindo status corona ganas utang ln menggunung rp t phk massal menghantui jokowi bizlaw id read cor ona ganas utang ln menggunung rp t phk massal menghantui jokowi ‚ ‚Ä viruscorona jokowi utangluarnegeri phk monitorindo"
"757"," e indozonemedia status berkaitan wabah virus corona presiden jokowi perusahaan phk kamuharustau jokowi phk viruscorona indozone id news xxsbo jo kowi menteri beritahu perusahaan phk karyawannya ‚ ‚Ä indozonemedia"
"758"," e forddyce status corona air new zealand phk pekerja indozone id s jsvxq ‚ twitter fvcysezmrb forddyce "
"759"," e ruth apriyanti status sedih iya sedih ngejar suapaya cpt lulus trus kerja eh gegara corona pupus rekrutmen ditunda isu phk ruth apriyanti"
"760"," e rikomaulanahid status bodo dah bang corona phk bang e rikomaulanahid "
"761"," e wln status corona perusahaan dpt untung terpaksa phk byk karyawan gt paham warga subhanallah e wln "
"762"," e majegru status yg dirumahkan unpaid leave phk corona virus semangat ya covid coronavirus coronavirusoutbreak e majegru"
"763"," e diah parwita status nak skrng cari kerja susah wabah corona yg rumahkan phk ayoo semangaaat you can do it diah parwita"
"764"," e topinfo id status kartu prakerja solusi gelombang phk akibat corona ‚ topinfo id kar tu prakerja solusi gelombang phk akibat corona ‚ ‚Ä e topinfo id"
"765"," e monitorindo status corona ganas utang ln menggunung rp t phk massal menghantui jokowi bizlaw id read cor ona ganas utang ln menggunung rp t phk massal menghantui jokowi ‚ ‚Ä viruscorona jokowi utangluarnegeri phk monitorindo"
"766"," e renaaldir status buwosen sumpa berita corona berita situ corona nakut in batuk dikit corona pilek dikit corona ngeluh kuliah onlen ngeluh tugas takut phk takut gaji takut dear orang yg gupuh semoga jd orang yg beriman berserah sm renaaldir"
"767"," e apriwulandr status dampak corona pendapatan menurun imbasnya karyawan phk rumahkan apriwulandr"
"768"," e cimiiimmmy status kepikiran engga sih efek corona "
"769"," phk an"
"770"," harga bahan pangan "
"771"," krisis ekonomi e cimiiimmmy"
"772"," e topinfo id status corona pesepak bola profesional terancam gelombang phk topinfo id cor ona pesepak bola profesional terancam gelombang phk ‚ ‚Ä twitter i gkyda en e topinfo id"
"773"," e bolabangetidn status corona pesepak bola profesional terancam gelombang phk bolabanget id story corona b uat pesepak bola profesional terancam gelombang phk ‚ ‚Ä twitter gjmphbnp n e bolabangetidn"
"774"," e jpnncom status banyaknya kompetisi sepak bola ditunda virus corona covid pemain terancam phk massal phkmassal m jpnn news pema in sepak bola terancam phk massal ‚ ‚Ä jpnncom"
"775"," e merdekadotcom status saran mark cuban pengusaha lakukan phk wabah corona dlvr it rs ksd ‚ merdekadotcom"
"776"," e kontannews status wabah virus corona memantik phk industri pariwisata insight kontan co id news wabah vir us corona memantik phk industri pariwisata ‚ ‚Ä kontannews"
"777"," e guemanusia status kombinasi phk banyaknya korban terinfeksi virus corona the worst e guemanusia "
"778"," e topinfo id status corona picu gelombang phk massal pesepak bola profesional topinfo id cor ona picu gelombang phk massal pesepak bola profesional ‚ ‚Ä e topinfo id"
"779"," e tempodotco status serikat pemain sepak bola profesional fifpro ancaman gelombang phk massal lantaran pandemi virus corona kompetisi sepak bola ditangguhkan "
"780"," bit ly u xky ‚ tempodotco"
"781"," e not note status welcome to indonesia wabah corona ancam phk massal pemain sepak bola kasihan tuuu pulang kampung pemain bolanya wkwkwkwk covid tandatangani petisi tagar indonesia tagar id wabah corona a ncam phk massal pemain sepak bola source twitter ‚ not note"
"782"," e borneonews status corona pesepak bola profesional terancam gelombang phk "
"783"," borneonews co id berita corona pesepak bola profesional terancam gelombang phk ‚ ‚Ä borneonews"
"784"," e paramitakelakan status tertarik yg ekonomi kesehatan ambil contoh pariwisata ya banget yg merugi kena phk dll corona masuk indonesia pemerintah subsidi menurunkan harga tiket pesawat mendongkrak sisi pariwisata bbrp setelahnya corona ma paramitakelakan"
"785"," e parlaypastigol status corona pesepak bola profesional terancam gelombang phk ift tt a kxi ‚ e parlaypastigol"
"786"," e bipolonline status corona pesepak bola profesional terancam gelombang phk ‚ bipol co corona pe sepak bola profesional terancam gelombang phk html ‚ ‚Ä e bipolonline"
"787"," e gungnafsu status corona sialan job manggung sepi kerjaan phk shit laptop ni pengusaha lele e gungnafsu"
"788"," e ivooxid status corona pesepak bola profesional terancam phk ivoox id corona pesepak bola profesional terancam phk ‚ ‚Ä e ivooxid"
"789"," e lucaxyzz status corona is real kena phk wkwkw twitter iyrazq f lucaxyzz"
"790"," e ecocriticismeve status nggak si heh kupikir kritis kayak gini orang kudu bantu support dolar tembus rb after corona phk masal perusahaan yg biaya operasionalnya pas pasan so yaaaah e ecocriticismeve"
"791"," e arfianaponk status dampak virus corona berpengaruh utk sektor food and beverage omzet menurun berakibat teman kena phk arfianaponk"
"792"," e bellaperrr status gada wfh kena corona phk dapet nice bellaperrr"
"793"," e bisniscom status terpopuler bola uefa komit selesaikan kompetisi juni pemain terancam phk massal corona bola bisnis read terpopuler bola uefa komit selesaikan kompetisi juni pemain terancam phk massal coron bisniscom"
"794"," e prettylele status hai jualan kaos bantu temen penjahit kantor tetep gawean phk belanja via shopee total penjualan donasikan tenaga medis membantu pasien corona via kitabisa shopee co id hanny e prettylele"
"795"," e pakprakoso status semoga sampe phk corona sakit ga uang sakit negeri e pakprakoso"
"796"," e clumsystruggles status iya bener gmn ya capek "
"797"," travel bener down grgr corona sampe hrs potong gaji kantor gabisa bayar full untungnya perusahaan phk karyawan kaya travel hrsnya bersyukur tp pgn resign clumsystruggles"
"798"," e topinfo id status gawat jutaan pekerjaan wilayah hilang akibat phk wabah corona topinfo id gaw at jutaan pekerjaan wilayah hilang akibat phk wabah corona ‚ ‚Ä e topinfo id"
"799"," e topinfo id status gawat jutaan pekerjaan wilayah hilang akibat phk wabah corona topinfo id gaw at jutaan pekerjaan wilayah hilang akibat phk wabah corona ‚ ‚Ä e topinfo id"
"800"," e ennoooook status hotel ku sepi gro corona tp alhamdulillah ora ono sing phk sih bu hotel lio ono sing do pulangkan "
"801"," gpp dek emng sepi kabeh alhamdulillah hotele apik an bersyukur "
"802"," ngomong "
"803"," gpp dek nak gajine entek telfon mengko dikirim"
"804",""
"805"," e ennoooook"
"806"," e aninrh status corona yg dibahas ngeri sebenernya gimana perusahaan ngga ngeliburin karyawannya ngga masuk kerja phk gimana gembel aninrh "
"807"," e peminumichitan status sedih banget baca storynya ko hans ttg curhatan orang orang terkait dampak corona bisnis lesu yg unpaid leave phk terancam ga dapet thr peminumichitan"
"808"," e jekie status corona keliatan pemerintah sejatinya mudah yg berkebalikan kenyataan yg lapangan e jekie "
"809"," e gula lali status zamannya corona gini gua phk ngelamar bingung gua perusahaan belom butuh karyawan yak orang kerja suruh kerja dirumah gimana nerima karyawan hadehhhh kudu piyee "
"810",""
"811"," coronaindonesia e gula lali"
"812"," e leoleazy status dollar menguat rupiah corona efek"
"813",""
"814"," krisis ekonomi "
"815","harga harga mahal "
"816"," pengangguran phk "
"817",""
"818","pr banget ni mentri mengahadapi krisis "
"819",""
"820"," rakyat anteng leoleazy"
"821"," e ajengmutiaraa status grgr corona sales outlet turun drastis"
"822","grgr corona krisis moneter turunn bgt"
"823","grgr corona karyawan phk "
"824","grgr corona aktivitas keganggu"
"825",""
"826"," lockdown yg cuman minggu dipake liburan sih pemahaman ttg lockdown ajengmutiaraa"
"827"," e duabela status bisnis travel agent kolaps sanggup merumahkan dgn gaji rp "
"828",""
"829"," maret perusahaan bintan phk karyawan dampak corona "
"830",""
"831"," m republika co id berita q x f perusahaan bintan phk karyawan dampak corona ‚ ‚Ä duabela "
"832"," e topinfo id status norwegia phk pemain akibat dampak ekonomi corona topinfo id nor wegia phk pemain akibat dampak ekonomi corona ‚ ‚Ä twitter ejkzcs gy e topinfo id"
"833"," e bolabangetidn status norwegia phk pemain akibat dampak ekonomi corona bolabanget id story norwegia phk pemain akibat dampak ekonomi corona ‚ ‚Ä twitter klfzuncvdb e bolabangetidn"
"834"," e javafxnews status corona menghancurkan permintaan bahan bakar perusahaan penyulingan phk dlvr it rs jpt ‚ twitter mlserej ch e javafxnews"
"835"," e myopiwbw status gabakal tenang kedepan gegara corona berimbas kerjaan astaga in phk astagaaaa myopiwbw"
"836"," e jokohand status serem corona phk jokohand "
"837"," e jpnncom status dampak mewabahnya virus corona covid pemain sepak bola profesional norwegia terkena phk pemainsepakbolaphk m jpnn news gegara co rona pemain sepak bola terkena phk ‚ ‚Ä jpnncom"
"838"," e antaramakassar status sepak bola norwegia phk pemain dampak virus corona makassar antaranews berita sepak bola norwegia phk pemain dampak virus corona xnkx qmtmuq twitter ‚ ‚Ä antaramakassar"
"839"," e lazellnet status corona mewabah kena pabrik tutup phk dimana ya ujungnya virus kelaparan lazellnet"
"840"," e ivooxid status klub norwegia phk pemain akibat dampak corona ivoox id klub norweg phk pemain akibat dampak corona ‚ ‚Ä e ivooxid"
"841"," e jpnncom status gegara corona pemain sepak bola terkena phk "
"842"," garagaracorona jpnn news gegara co rona pemain sepak bola terkena phk ‚ ‚Ä jpnncom"
"843"," e actionundip status wabah corona memicu phk jokowi luncurkan kartu prakerja jumat besok katadata co id ‚ dlvr it rs hl ‚ actionundip"
"844"," e lalofatkya status knp si org masi santai rmh k tmpt ramai utk ga andai pnya kesadaran utk rmh cpt slese corona tuu kl corona ga slese yg kasian g yg kena sakit tp yg kena phk tenaga medis terbatas hrs kerja ekstra dll lalofatkya"
"845"," e cendananews status dampak corona norwegia terpaksa phk pesepak bola cendananews dampak corona norwegia terpaksa phk pesepak bola html ‚ ‚Ä twitter ieocq s xb cendananews"
"846"," e sofyandyn status krmtroysuryo hormat pemerintah corona memperhatikan rupiah rontok rupiah rontok dijamin pekerja yg phk yg memphk karyawan rupiah rb sofyandyn"
"847"," e lxst angel status this is real ga pake nunggu lockdown temen yg kena phk dgn alasan corona lxst angel"
"848"," e rully oedaya status efek berantai corona plus fundamental ekonomi yg rapuh dikelola ugal ugalan saham rupiah anjlok phk massal harga korupsi merajalela e rully oedaya"
"849"," e etheycarolina status denger ade uda ga dikasih makan dikantor "
"850","semoga ga phk imbas corona etheycarolina"
"851"," e jekie status corona bang mending dijilat buang bumbu sengaja kena sakit twitter ainunrozi stat us ‚ ‚Ä e jekie "
"852"," e mesuadepari status efek corona ekonomi sulit ojol krg pesanan target perusahaan tercapai phk gaji d bayar dll d bayar harian lockdown umkm sulit huft mesuadepari"
"853"," e detikcom status ngeri resesi virus corona menyebabkan kehilangan pekerjaan pekerja memiliki upah rendah produktivitas rendah jam kerja rendah phk "
"854",""
"855","via detikfinance finance detik berita ekonomi bisnis d juta orang terancam detikcom"
"856"," e indozonemedia status wabah virus corona melanda dunia berdampak industri penerbangan salah satunya maskapai air new zealand terpaksa memangkas karyawannya mengalami kerugian kamuharustau viruscorona corona phk "
"857"," indozon indozonemedia"
"858"," e detikfinance status ngeri resesi virus corona menyebabkan kehilangan pekerjaan pekerja memiliki upah rendah produktivitas rendah jam kerja rendah phk "
"859"," finance detik berita ekonomi bisnis d juta orang terancam pengangguran i detikfinance"
"860"," e aryoajinugroho status mending lu kerja ditengah corona orang kebingungan dapet pengurangan jam kerja phk e aryoajinugroho"
"861"," e kudosinichiii status kondisi panik kek gini skrg phk dimana virus corona e kudosinichiii"
"862"," e mamiy status berbeda "
"863","hrsnya phk bahu membahu pemerintah dlm menangani wabah corona "
"864",""
"865","jgn berpikir ah ga kena ah hidup mati urusan allah"
"866",""
"867","ikhtiar wajib e mamiy "
"868"," e naufalyufa status corona lockdown dolarnaik kaga bonus phk masal jobless kondisi dapur kaga kondusif akal ga sehat mimpi buruk "
"869","berdoa ikhtiar besafe naufalyufa"
"870"," e andyysusant status gal lucu ki lek e corona ne wes bar malih ganti penyakit phk masal andyysusant"
"871"," e grey wolve status corona menular menyebabkan kematian menyebabkan dolar berdampak penurunan ekonomi lockdown pariwisata mati suri yg phk ngeri keneh penyakit hati grey wolve"
"872"," e sisriiiii status gaji pas an pake acara phk gegara corona "
"873",""
"874"," garagaracorona e sisriiiii"
"875"," e nando kitting status rugi akibat corona maskapai selandia phk karyawan potret artikel rugi a kibat corona maskapai selandia phk karyawan ‚ ‚Ä twitter pwuiergcal e nando kitting"
"876"," e parlaypastigol status norwegia phk pemain akibat dampak ekonomi corona ift tt b bk ‚ e parlaypastigol"
"877"," e ditagar status klub klub sepakbola norwegia kesulitan dana wabah corona klub mem phk pemain "
"878",""
"879"," tagar id dampak corona klub sepak bola norwegia phk pemain source twitter ‚ ‚Ä "
"880",""
"881"," tagar "
"882"," tagarnews "
"883"," viruscorona ditagar"
"884"," e f taf status corona "
"885",""
"886","condisi raono orderan "
"887","beneran sepi pergerakan bisnis turun mash untng yg ga collaps phk "
"888","kondisi kya gini susah cari kerja d office plant d lockdown membatasi org karyawan masuk e f taf"
"889"," e nita komala status ya allah mbok ya masi anggep corona ga serius masi plesir phk meh nangis ama twitter adityafakhrii status ‚ ‚Ä nita komala"
"890"," e luxemann status indonesia virus corona membunuh manusia efek ketakutan virus phk massal kebangkrutan massal luxemann"
"891"," e smuhamad status dollar tembus k ihsg anjlok korban corona virus bertambah "
"892","semoga phk massal ya bang smuhamad "
"893"," e faushaff status kontrak kuliah phk corona faushaff"
"894"," e mamaypapin status lolos virus corona mati krn kekurangan pangan gk duit beras gula sulit phk yg dagang laku ekonomi lesu ketipu asuransi jiwasraya dll periode mamaypapin"
"895"," e itsdv status terancam phk corona sialan melasti pawai ogoh ogoh menyambut hariraya nyepi damn shit e itsdv "
"896"," e cukuprudiaja status ngeri kredit macet krn yg minjemnya yg terkena phk bangkrut meninggal akibat dampak corona masyarakat yg jd lender investor mesti hati cukuprudiaja"
"897"," e yuana status krn ulah‚ yg tdk sadar bs menyeret seindonesia ikutan suaah yg kasihan a kaum yg msh hdp dr upah terancam kena phk blm kena virus corona hrs terima ancaman kelaparan mikir kalian‚ woei yg sok santuy e yuana "
"898"," e beshabi status virus corona phk an perusahaan makan huhhu beshabi"
"899"," e ramaaril status amin kasian anak training ditempat kerja kena phk corona e ramaaril "
"900"," e fandiach status syarat sah shalat gk dimasjid sujud masjid "
"901",""
"902"," perputaran ekonomi simalakama "
"903","ngurainya sulit "
"904"," jgn disamakan "
"905",""
"906"," stop total orang yg phk "
"907","sunami corona sunami ekonomi resikonya tingginya e fandiach "
"908"," e noona insting status sialan emang si corona om "
"909","gr gr corona bos nyuruh nunggu perpanjangan kontraknya nnti dihubungi "
"910"," tega tmn kantor langsung phk noona insting"
"911"," e bellaissabella status ga malu ngaku phk ama kantor skrg krn corona "
"912"," "
"913"," udh diatas yg tau saksi yg lewatin sampe puncak bellaissabella"
"914"," e best salesman status klo d ondonesia "
"915","sblum corona phk e best salesman "
"916"," e suarasulsel status sepak bola norwegia phk pemain dampak virus corona dlvr it rsbvzb ‚ twitter y nvvu ptv suarasulsel"
"917"," e nin hychan status gegara corona nih terancam phk bisnis ekonomi menurun nin hychan"
"918"," e progresonline status imbas pandemi corona pasar saham ambruk perusahaan dunia phk massal progres id ‚ progres id featured imbas pandemi corona pasar saham ambruk perusahaan dunia phk massal html ‚ ‚Ä e progresonline"
"919"," e metrobatam status gegara corona hotel bintan phk karyawan metrobatam gegara corona hotel bintan phk karyawan ‚ ‚Ä twitter nc ozuhijs metrobatam "
"920"," e linkzcrosser status salah imbasnya negara kesusahan corona nahan pengeluaranya belanja barang cina akibatnya pendapatan perusahaan cina pasa menurun pendapatan turun perusahaan kepaksa phk kryawanya "
"921",""
"922"," cnbcindonesia ne linkzcrosser"
"923"," e cnnindonesia status bom phk letusan virus corona cnnindonesia ekonomi bom phk letusan virus corona utm source twitter utm medium oa utm content cnnindonesia utm campaign cmssocmed ‚ ‚Ä cnnindonesia"
"924"," e zainalalims status bom phk letusan virus corona cnn id ‚ e zainalalims "
"925"," e naelyohan status haga meliala seram phk drpd corona naelyohan"
"926"," e pikiran rakyat status perang lawan corona potensi phk mengintai dlvr it rscz b ‚ pikiran rakyat"
"927"," e larasnk status corona ngga phk perlahan iya larasnk"
"928"," e udang mayonaise status anjirrr outlet outlet phk massal kasian liatnya "
"929",""
"930","dampak corona kerasa banget ya perkonomian udang mayonaise"
"931"," e aiudo status bom phk letusan virus corona "
"932"," cnnindonesia ekonomi bom phk letusan virus corona ‚ ‚Ä aiudo "
"933"," e agasicky status corona n phk e agasicky"
"934"," e oganyaaan status sesungguhnya efek corona yg ditakutin perusahaan yg phk karyawannya e oganyaaan"
"935"," e oganyaaan status i mean after selesai normal not saying efek corona nakutin phk but after effect e oganyaaan"
"936"," e detikfinance status merebaknya pandemi virus corona dikhawatirkan menambah potensi munculnya badai pemutusan hubungan kerja phk langkah jokowi jokowi "
"937"," finance detik berita ekonomi bisnis d ragam jokowi cegah phk wabah corona utm content deti detikfinance"
"938"," e topinfo id status ragam jokowi cegah phk wabah corona topinfo id rag am jokowi cegah phk wabah corona ‚ ‚Ä e topinfo id"
